,ds,qid,q,reasons
138,dl22_bm25_bertscore_umbrela_0.3,2003157,how to cook frozen ham steak on nuwave oven,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
139,dl22_bm25_bertscore_umbrela_0.3,2003322,how to dilute ceftriaxone vial,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
140,dl22_bm25_bertscore_umbrela_0.3,2004253,how to trim blank space in excel,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
141,dl22_bm25_bertscore_umbrela_0.3,2012431,ebola how can it be prevented,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
142,dl22_bm25_bertscore_umbrela_0.3,2013306,who is gehan homes,"['ambiguous entity reference', 'technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
143,dl22_bm25_bertscore_umbrela_0.3,2016333,how to make ground beef empanadas,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
144,dl22_bm25_bertscore_umbrela_0.3,2025747,code for history of suicidal statements,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
145,dl22_bm25_bertscore_umbrela_0.3,2031726,yeast infection md,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
146,dl22_bm25_bertscore_umbrela_0.3,2033232,people who have fled the us because trump,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
147,dl22_bm25_bertscore_umbrela_0.3,2035447,how much money do i need in bangkok,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation', 'currency exchange fluctuations', 'varied spending patterns', 'tourist vs. resident spending differences', 'multiple currency considerations', 'dynamic economic conditions', 'regional cost variations']"
148,dl22_bm25_bertscore_umbrela_0.3,2035565,what does duped mean,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
149,dl22_bm25_bertscore_umbrela_0.3,2038890,syracuse law school ranking,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
150,dl22_bm25_bertscore_umbrela_0.3,2040613,what does london breed stand for,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
151,dl22_bm25_bertscore_umbrela_0.3,2049417,what is peace in french?,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
152,dl22_bm25_bertscore_umbrela_0.3,2034205,how much magnolia bark to take for anxiety,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation', 'dosage variability based on individual factors', 'safety concerns for specific populations', 'potential drug interactions', 'species-specific efficacy differences']"
153,dl22_bm25_bertscore_umbrela_0.3,2046371,functions of three regions of sm intestine,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
154,dl22_bm25_bertscore_umbrela_0.3,2008871,what phylum includes the ascaris and the pinworm,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
155,dl22_bm25_bertscore_umbrela_0.3,2032949,what is the outside of a shape,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
156,dl22_bm25_bertscore_umbrela_0.3,2035009,who sang the song maybe,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
157,dl22_bm25_bertscore_umbrela_0.3,2045272,what hazards come with making paint,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
158,dl22_bm25_bertscore_umbrela_0.3,2028378,when is trial by jury used,"['technical accuracy required', 'risk of misinformation', 'up-to-date information needed']"
159,dl22_bm25_bertscore_umbrela_0.3,2056158,what phone to use in europe,"['up-to-date information needed', 'technical accuracy required', 'risk of misinformation']"
160,dl22_bm25_bertscore_umbrela_0.3,2002533,how much average cost to plan a 8' tree?,"['up-to-date information needed', 'technical accuracy required', 'risk of misinformation']"
161,dl22_bm25_bertscore_umbrela_0.3,2027497,how often should you take your toddler to the potty when potty training,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
162,dl22_bm25_bertscore_umbrela_0.3,2055795,collins the good to great,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
163,dl22_bm25_bertscore_umbrela_0.3,2012536,how to cook pork tenderloin steaks in oven,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
164,dl22_unicoil_bertscore_umbrela_0.3,2006211,what does auslan interpreted performance mean,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
165,dl22_unicoil_bertscore_umbrela_0.3,2006627,what is 311 for,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
166,dl22_unicoil_bertscore_umbrela_0.3,2027130,home child care definition,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
167,dl22_unicoil_bertscore_umbrela_0.3,2037251,how many people watch nba basketball,"['up-to-date information needed', 'technical accuracy required', 'risk of misinformation']"
168,dl22_distilbert-tas-b_bertscore_umbrela_0.3,2006394,what does septrin heal?,"['technical accuracy required', 'up-to-date information needed', 'risk of misinformation']"
169,dl22_distilbert-tas-b_bertscore_umbrela_0.3,2036182,number of instagram post about unicorn frappuccino,"['up-to-date information needed', 'technical accuracy required', 'risk of misinformation']"
170,dl22_distilbert-tas-b_bertscore_umbrela_0.3,2055480,how many incidents of corneal abrasion,"['up-to-date information needed', 'technical accuracy required', 'risk of misinformation']"
